City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Carutapera,BR,-1.195,-46.02,72.1,89,60,2.3,broken clouds
171,Nantucket,US,41.2835,-70.0995,68.97,85,90,8.05,overcast clouds
172,Hudson Bay,CA,52.85,-102.3842,67.84,44,18,4.63,few clouds
173,Molteno,ZA,-31.3968,26.3625,38.77,51,56,1.36,broken clouds
174,Vao,NC,-22.6667,167.4833,67.35,60,4,13.85,clear sky
175,Batagay-Alyta,RU,67.8006,130.4114,73.27,38,0,6.78,clear sky
176,Buin,CL,-33.7333,-70.75,64.74,20,0,3.8,clear sky
177,Bengkulu,ID,-3.8004,102.2655,79.18,87,60,10.76,broken clouds
178,Bereda,ES,43.2686,-7.5406,55.92,100,77,2.48,broken clouds
179,Timberlake,US,37.3207,-79.2575,71.87,80,1,0.0,clear sky
180,Rolla,US,37.9514,-91.7713,72.52,82,1,1.99,haze
181,San Carlos De Bariloche,AR,-41.1456,-71.3082,39.43,57,0,1.14,clear sky
182,Visnes,NO,59.3556,5.2242,53.65,76,40,24.16,scattered clouds
183,Bluefield,US,37.2698,-81.2223,66.76,77,75,3.0,broken clouds
184,Baoqing,CN,46.3317,132.2111,92.79,39,45,9.64,scattered clouds
185,Kristianstad,SE,56.0313,14.1524,57.58,95,20,1.99,few clouds
186,Atambua,ID,-9.1061,124.8925,85.6,50,8,2.71,clear sky
187,Charters Towers,AU,-20.1,146.2667,84.4,24,0,11.95,clear sky
188,Nara,JP,34.6851,135.8049,96.12,44,89,4.88,overcast clouds
189,Kanasin,MX,20.9333,-89.5667,80.62,74,75,10.36,broken clouds
190,Longyearbyen,SJ,78.2186,15.6401,46.24,71,40,12.66,scattered clouds
191,Kortkeros,RU,61.8106,51.5806,57.2,89,85,6.22,light rain
192,Asau,RO,46.4333,26.4,73.76,85,24,5.97,few clouds
193,Sale,MA,34.0389,-6.8166,63.75,94,30,0.0,scattered clouds
194,Teguldet,RU,57.3064,88.1667,69.91,53,1,2.77,clear sky
195,Vila Velha,BR,-20.3297,-40.2925,58.95,94,0,2.3,clear sky
196,Tiksi,RU,71.6872,128.8694,54.59,58,12,6.29,few clouds
197,Turbat,PK,26.0023,63.044,87.3,67,97,3.71,overcast clouds
198,Sahaswan,IN,28.0833,78.75,87.75,66,84,15.43,broken clouds
199,Ayabaca,PE,-4.6398,-79.7149,45.01,82,6,8.59,clear sky
200,Lata,PT,40.1629,-8.3327,64.92,95,100,0.96,overcast clouds
201,Makakilo City,US,21.3469,-158.0858,84.52,51,1,13.8,clear sky
202,Tual,ID,-5.6667,132.75,81.52,78,23,11.34,few clouds
203,Ombessa,CM,4.603,11.2565,68.7,97,100,3.98,overcast clouds
204,Kenora,CA,49.8167,-94.4337,68.97,60,75,4.61,smoke
205,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.76,94,90,5.75,overcast clouds
206,Vestmannaeyjar,IS,63.4427,-20.2734,53.42,88,86,6.93,overcast clouds
207,Shiyan,CN,32.6475,110.7781,92.41,67,69,7.58,broken clouds
208,Yulara,AU,-25.2406,130.9889,64.24,22,0,13.8,clear sky
209,Ukiah,US,39.1502,-123.2078,67.86,78,1,2.95,clear sky
210,Nizhniy Tsasuchey,RU,50.5167,115.1333,80.76,37,45,14.41,scattered clouds
211,Buala,SB,-8.145,159.5921,79.65,84,100,7.58,light rain
212,Mae Sai,TH,20.4335,99.8762,87.44,87,100,0.78,overcast clouds
